x,y,z
9.945649e-03,9.991399e-01,4.974431e-06
1.978517e-02,9.985576e-01,1.979972e-05
2.952235e-02,9.982498e-01,4.433830e-05
3.916095e-02,9.982133e-01,7.846484e-05
4.870461e-02,9.984454e-01,1.220659e-04
5.815695e-02,9.989429e-01,1.750395e-04
6.752150e-02,9.997033e-01,2.372949e-04
7.680174e-02,1.000724e+00,3.087520e-04
8.600107e-02,1.002002e+00,3.893414e-04
9.512286e-02,1.003535e+00,4.790039e-04
1.041704e-01,1.005321e+00,5.776902e-04
1.131469e-01,1.007357e+00,6.853606e-04
1.220557e-01,1.009641e+00,8.019852e-04
1.308997e-01,1.012172e+00,9.275428e-04
1.396821e-01,1.014947e+00,1.062022e-03
1.484060e-01,1.017963e+00,1.205419e-03
1.570743e-01,1.021220e+00,1.357740e-03
1.656899e-01,1.024716e+00,1.518999e-03
1.742557e-01,1.028449e+00,1.689218e-03
1.827747e-01,1.032416e+00,1.868427e-03
1.912495e-01,1.036618e+00,2.056666e-03
1.996830e-01,1.041052e+00,2.253980e-03
2.080778e-01,1.045717e+00,2.460425e-03
2.164366e-01,1.050611e+00,2.676061e-03
2.247621e-01,1.055734e+00,2.900958e-03
2.330569e-01,1.061085e+00,3.135194e-03
2.413236e-01,1.066662e+00,3.378853e-03
2.495645e-01,1.072464e+00,3.632027e-03
2.577824e-01,1.078490e+00,3.894815e-03
2.659795e-01,1.084740e+00,4.167323e-03
2.741584e-01,1.091213e+00,4.449665e-03
2.823214e-01,1.097908e+00,4.741963e-03
2.904709e-01,1.104824e+00,5.044345e-03
2.986092e-01,1.111962e+00,5.356945e-03
3.067387e-01,1.119319e+00,5.679907e-03
3.148616e-01,1.126897e+00,6.013381e-03
3.229802e-01,1.134694e+00,6.357522e-03
3.310966e-01,1.142710e+00,6.712497e-03
3.392132e-01,1.150945e+00,7.078476e-03
3.473320e-01,1.159399e+00,7.455638e-03
3.554552e-01,1.168072e+00,7.844169e-03
3.635850e-01,1.176963e+00,8.244262e-03
3.717235e-01,1.186073e+00,8.656120e-03
3.798727e-01,1.195401e+00,9.079949e-03
3.880347e-01,1.204948e+00,9.515967e-03
3.962116e-01,1.214714e+00,9.964397e-03
4.044055e-01,1.224699e+00,1.042547e-02
4.126182e-01,1.234903e+00,1.089942e-02
4.208518e-01,1.245327e+00,1.138651e-02
4.291083e-01,1.255970e+00,1.188698e-02
4.373897e-01,1.266835e+00,1.240110e-02
4.456979e-01,1.277920e+00,1.292913e-02
4.540348e-01,1.289227e+00,1.347137e-02
4.624023e-01,1.300755e+00,1.402809e-02
4.708025e-01,1.312507e+00,1.459960e-02
4.792371e-01,1.324482e+00,1.518619e-02
4.877080e-01,1.336681e+00,1.578819e-02
4.962171e-01,1.349105e+00,1.640592e-02
5.047664e-01,1.361755e+00,1.703970e-02
5.133575e-01,1.374631e+00,1.768989e-02
5.219925e-01,1.387736e+00,1.835683e-02
5.306730e-01,1.401069e+00,1.904088e-02
5.394010e-01,1.414631e+00,1.974242e-02
5.481782e-01,1.428425e+00,2.046183e-02
5.570065e-01,1.442450e+00,2.119949e-02
5.658877e-01,1.456709e+00,2.195581e-02
5.748235e-01,1.471202e+00,2.273120e-02
5.838159e-01,1.485931e+00,2.352608e-02
5.928664e-01,1.500897e+00,2.434089e-02
6.019771e-01,1.516102e+00,2.517608e-02
6.111495e-01,1.531546e+00,2.603209e-02
6.203856e-01,1.547232e+00,2.690940e-02
6.296870e-01,1.563160e+00,2.780850e-02
6.390556e-01,1.579333e+00,2.872986e-02
6.484932e-01,1.595752e+00,2.967400e-02
6.580014e-01,1.612419e+00,3.064144e-02
6.675821e-01,1.629336e+00,3.163271e-02
6.772371e-01,1.646504e+00,3.264835e-02
6.869681e-01,1.663925e+00,3.368892e-02
6.967768e-01,1.681600e+00,3.475500e-02
7.066651e-01,1.699533e+00,3.584716e-02
7.166348e-01,1.717725e+00,3.696602e-02
7.266875e-01,1.736177e+00,3.811218e-02
7.368251e-01,1.754892e+00,3.928628e-02
7.470494e-01,1.773872e+00,4.048897e-02
7.573622e-01,1.793119e+00,4.172090e-02
7.677652e-01,1.812636e+00,4.298277e-02
7.782602e-01,1.832424e+00,4.427525e-02
7.888490e-01,1.852485e+00,4.559908e-02
7.995335e-01,1.872823e+00,4.695497e-02
8.103154e-01,1.893439e+00,4.834367e-02
8.211966e-01,1.914336e+00,4.976596e-02
8.321788e-01,1.935517e+00,5.122261e-02
8.432640e-01,1.956983e+00,5.271443e-02
8.544538e-01,1.978737e+00,5.424225e-02
8.657502e-01,2.000783e+00,5.580691e-02
8.771551e-01,2.023122e+00,5.740926e-02
8.886702e-01,2.045758e+00,5.905020e-02
9.002975e-01,2.068692e+00,6.073064e-02
9.120387e-01,2.091928e+00,6.245150e-02
9.238959e-01,2.115469e+00,6.421373e-02
9.358708e-01,2.139318e+00,6.601830e-02
9.479655e-01,2.163477e+00,6.786622e-02
9.601817e-01,2.187949e+00,6.975849e-02
9.725215e-01,2.212738e+00,7.169618e-02
9.849867e-01,2.237847e+00,7.368035e-02
9.975793e-01,2.263278e+00,7.571209e-02
1.010301e+00,2.289035e+00,7.779252e-02
1.023155e+00,2.315120e+00,7.992281e-02
1.036141e+00,2.341539e+00,8.210412e-02
1.049263e+00,2.368292e+00,8.433766e-02
1.062523e+00,2.395385e+00,8.662466e-02
1.075921e+00,2.422820e+00,8.896639e-02
1.089461e+00,2.450601e+00,9.136413e-02
1.103145e+00,2.478731e+00,9.381923e-02
1.116974e+00,2.507213e+00,9.633302e-02
1.130950e+00,2.536053e+00,9.890690e-02
1.145076e+00,2.565252e+00,1.015423e-01
1.159354e+00,2.594815e+00,1.042407e-01
1.173786e+00,2.624746e+00,1.070035e-01
1.188374e+00,2.655048e+00,1.098323e-01
1.203120e+00,2.685725e+00,1.127286e-01
1.218027e+00,2.716781e+00,1.156941e-01
1.233096e+00,2.748220e+00,1.187303e-01
1.248330e+00,2.780047e+00,1.218391e-01
1.263731e+00,2.812264e+00,1.250219e-01
1.279302e+00,2.844876e+00,1.282808e-01
1.295044e+00,2.877888e+00,1.316173e-01
1.310959e+00,2.911304e+00,1.350334e-01
1.327051e+00,2.945127e+00,1.385310e-01
1.343322e+00,2.979362e+00,1.421119e-01
1.359773e+00,3.014014e+00,1.457782e-01
1.376407e+00,3.049086e+00,1.495318e-01
1.393227e+00,3.084584e+00,1.533749e-01
1.410235e+00,3.120512e+00,1.573096e-01
1.427434e+00,3.156874e+00,1.613380e-01
1.444825e+00,3.193675e+00,1.654623e-01
1.462411e+00,3.230920e+00,1.696849e-01
1.480196e+00,3.268614e+00,1.740080e-01
1.498181e+00,3.306761e+00,1.784340e-01
1.516368e+00,3.345365e+00,1.829654e-01
1.534761e+00,3.384433e+00,1.876047e-01
1.553363e+00,3.423969e+00,1.923543e-01
1.572174e+00,3.463978e+00,1.972170e-01
1.591200e+00,3.504464e+00,2.021954e-01
1.610441e+00,3.545434e+00,2.072921e-01
1.629900e+00,3.586892e+00,2.125102e-01
1.649581e+00,3.628844e+00,2.178523e-01
1.669486e+00,3.671294e+00,2.233214e-01
1.689618e+00,3.714249e+00,2.289206e-01
1.709980e+00,3.757713e+00,2.346529e-01
1.730574e+00,3.801691e+00,2.405214e-01
1.751403e+00,3.846191e+00,2.465294e-01
1.772471e+00,3.891216e+00,2.526802e-01
1.793779e+00,3.936773e+00,2.589770e-01
1.815332e+00,3.982867e+00,2.654235e-01
1.837131e+00,4.029504e+00,2.720231e-01
1.859180e+00,4.076690e+00,2.787794e-01
1.881482e+00,4.124430e+00,2.856961e-01
1.904040e+00,4.172731e+00,2.927770e-01
1.926857e+00,4.221598e+00,3.000260e-01
1.949936e+00,4.271037e+00,3.074471e-01
1.973280e+00,4.321055e+00,3.150442e-01
1.996892e+00,4.371657e+00,3.228215e-01
2.020776e+00,4.422850e+00,3.307833e-01
2.044935e+00,4.474640e+00,3.389340e-01
2.069372e+00,4.527033e+00,3.472779e-01
2.094089e+00,4.580036e+00,3.558196e-01
2.119092e+00,4.633654e+00,3.645638e-01
2.144382e+00,4.687895e+00,3.735151e-01
2.169963e+00,4.742764e+00,3.826786e-01
2.195839e+00,4.798269e+00,3.920591e-01
2.222013e+00,4.854415e+00,4.016618e-01
2.248488e+00,4.911210e+00,4.114918e-01
2.275268e+00,4.968660e+00,4.215545e-01
2.302357e+00,5.026771e+00,4.318554e-01
2.329758e+00,5.085552e+00,4.424000e-01
2.357474e+00,5.145008e+00,4.531941e-01
2.385510e+00,5.205146e+00,4.642434e-01
2.413868e+00,5.265973e+00,4.755540e-01
2.442553e+00,5.327497e+00,4.871319e-01
2.471568e+00,5.389724e+00,4.989835e-01
2.500917e+00,5.452661e+00,5.111150e-01
2.530604e+00,5.516316e+00,5.235330e-01
2.560633e+00,5.580695e+00,5.362443e-01
2.591007e+00,5.645806e+00,5.492556e-01
2.621730e+00,5.711656e+00,5.625739e-01
2.652807e+00,5.778252e+00,5.762064e-01
2.684240e+00,5.845602e+00,5.901604e-01
2.716035e+00,5.913713e+00,6.044434e-01
2.748195e+00,5.982592e+00,6.190630e-01
2.780725e+00,6.052246e+00,6.340271e-01
2.813627e+00,6.122684e+00,6.493435e-01
2.846907e+00,6.193912e+00,6.650205e-01
2.880569e+00,6.265939e+00,6.810665e-01
2.914616e+00,6.338771e+00,6.974900e-01
2.949053e+00,6.412417e+00,7.142997e-01
2.983885e+00,6.486883e+00,7.315045e-01
3.019114e+00,6.562178e+00,7.491136e-01
3.054747e+00,6.638308e+00,7.671363e-01
3.090787e+00,6.715282e+00,7.855822e-01
3.127239e+00,6.793108e+00,8.044609e-01
3.164106e+00,6.871793e+00,8.237824e-01
3.201394e+00,6.951344e+00,8.435569e-01
3.239107e+00,7.031770e+00,8.637949e-01
3.277249e+00,7.113077e+00,8.845069e-01
3.315825e+00,7.195274e+00,9.057038e-01
3.354839e+00,7.278369e+00,9.273968e-01
3.394297e+00,7.362369e+00,9.495971e-01
3.434202e+00,7.447281e+00,9.723163e-01
3.474560e+00,7.533114e+00,9.955663e-01
3.515375e+00,7.619874e+00,1.019359e+00
3.556651e+00,7.707571e+00,1.043707e+00
3.598395e+00,7.796210e+00,1.068623e+00
3.640609e+00,7.885800e+00,1.094120e+00
3.683300e+00,7.976348e+00,1.120211e+00
3.726472e+00,8.067863e+00,1.146909e+00
3.770130e+00,8.160350e+00,1.174228e+00
3.814278e+00,8.253818e+00,1.202182e+00
3.858922e+00,8.348273e+00,1.230786e+00
3.904067e+00,8.443724e+00,1.260053e+00
3.949717e+00,8.540177e+00,1.290000e+00
3.995878e+00,8.637640e+00,1.320641e+00
4.042554e+00,8.736119e+00,1.351992e+00
4.089751e+00,8.835622e+00,1.384068e+00
4.137473e+00,8.936155e+00,1.416887e+00
4.185726e+00,9.037726e+00,1.450463e+00
4.234515e+00,9.140340e+00,1.484815e+00
4.283844e+00,9.244005e+00,1.519960e+00
4.333719e+00,9.348727e+00,1.555915e+00
4.384146e+00,9.454512e+00,1.592697e+00
4.435129e+00,9.561367e+00,1.630326e+00
4.486672e+00,9.669297e+00,1.668820e+00
4.538783e+00,9.778309e+00,1.708198e+00
4.591465e+00,9.888408e+00,1.748480e+00
4.644723e+00,9.999600e+00,1.789684e+00
4.698564e+00,1.011189e+01,1.831832e+00
4.752992e+00,1.022528e+01,1.874944e+00
4.808011e+00,1.033979e+01,1.919041e+00
4.863629e+00,1.045540e+01,1.964144e+00
4.919849e+00,1.057213e+01,2.010275e+00
4.976676e+00,1.068999e+01,2.057457e+00
5.034117e+00,1.080897e+01,2.105711e+00
5.092175e+00,1.092908e+01,2.155061e+00
5.150856e+00,1.105033e+01,2.205531e+00
5.210166e+00,1.117271e+01,2.257144e+00
5.270109e+00,1.129623e+01,2.309924e+00
5.330690e+00,1.142090e+01,2.363897e+00
5.391915e+00,1.154671e+01,2.419088e+00
5.453788e+00,1.167366e+01,2.475522e+00
5.516314e+00,1.180177e+01,2.533225e+00
5.579499e+00,1.193103e+01,2.592225e+00
5.643346e+00,1.206143e+01,2.652547e+00
5.707862e+00,1.219299e+01,2.714221e+00
5.773050e+00,1.232570e+01,2.777273e+00
5.838917e+00,1.245957e+01,2.841732e+00
5.905465e+00,1.259458e+01,2.907627e+00
5.972700e+00,1.273074e+01,2.974988e+00
6.040627e+00,1.286805e+01,3.043845e+00
6.109250e+00,1.300650e+01,3.114227e+00
6.178574e+00,1.314610e+01,3.186166e+00
6.248602e+00,1.328684e+01,3.259693e+00
6.319340e+00,1.342871e+01,3.334840e+00
6.390791e+00,1.357172e+01,3.411639e+00
6.462960e+00,1.371584e+01,3.490123e+00
6.535850e+00,1.386109e+01,3.570326e+00
6.609466e+00,1.400746e+01,3.652281e+00
6.683811e+00,1.415493e+01,3.736022e+00
6.758890e+00,1.430350e+01,3.821585e+00
6.834705e+00,1.445316e+01,3.909004e+00
6.911260e+00,1.460390e+01,3.998315e+00
6.988558e+00,1.475571e+01,4.089554e+00
7.066604e+00,1.490858e+01,4.182759e+00
7.145399e+00,1.506250e+01,4.277965e+00
7.224947e+00,1.521746e+01,4.375211e+00
7.305250e+00,1.537344e+01,4.474534e+00
7.386311e+00,1.553043e+01,4.575973e+00
7.468133e+00,1.568841e+01,4.679567e+00
7.550718e+00,1.584736e+01,4.785354e+00
7.634067e+00,1.600728e+01,4.893376e+00
7.718182e+00,1.616814e+01,5.003671e+00
7.803066e+00,1.632992e+01,5.116281e+00
7.888720e+00,1.649260e+01,5.231245e+00
7.975144e+00,1.665616e+01,5.348605e+00
8.062340e+00,1.682057e+01,5.468403e+00
8.150309e+00,1.698582e+01,5.590681e+00
8.239051e+00,1.715188e+01,5.715480e+00
8.328566e+00,1.731872e+01,5.842843e+00
8.418854e+00,1.748631e+01,5.972812e+00
8.509915e+00,1.765462e+01,6.105432e+00
8.601748e+00,1.782363e+01,6.240743e+00
8.694352e+00,1.799330e+01,6.378791e+00
8.787726e+00,1.816360e+01,6.519618e+00
8.881869e+00,1.833449e+01,6.663267e+00
8.976778e+00,1.850593e+01,6.809784e+00
9.072451e+00,1.867790e+01,6.959210e+00
9.168886e+00,1.885035e+01,7.111591e+00
9.266079e+00,1.902323e+01,7.266970e+00
9.364028e+00,1.919651e+01,7.425390e+00
9.462727e+00,1.937015e+01,7.586896e+00
9.562175e+00,1.954409e+01,7.751530e+00
9.662364e+00,1.971828e+01,7.919337e+00
9.763291e+00,1.989269e+01,8.090358e+00
9.864950e+00,2.006725e+01,8.264638e+00
9.967335e+00,2.024191e+01,8.442219e+00
1.007044e+01,2.041662e+01,8.623143e+00
1.017426e+01,2.059132e+01,8.807452e+00
1.027878e+01,2.076596e+01,8.995187e+00
1.038400e+01,2.094046e+01,9.186388e+00
1.048990e+01,2.111478e+01,9.381097e+00
1.059649e+01,2.128883e+01,9.579353e+00
1.070375e+01,2.146257e+01,9.781194e+00
1.081166e+01,2.163590e+01,9.986659e+00
1.092023e+01,2.180878e+01,1.019578e+01
1.102943e+01,2.198111e+01,1.040861e+01
1.113926e+01,2.215284e+01,1.062516e+01
1.124970e+01,2.232387e+01,1.084548e+01
1.136074e+01,2.249413e+01,1.106960e+01
1.147236e+01,2.266354e+01,1.129756e+01
1.158456e+01,2.283201e+01,1.152937e+01
1.169731e+01,2.299945e+01,1.176507e+01
1.181059e+01,2.316579e+01,1.200469e+01
1.192440e+01,2.333092e+01,1.224826e+01
1.203872e+01,2.349475e+01,1.249579e+01
1.215352e+01,2.365720e+01,1.274731e+01
1.226878e+01,2.381815e+01,1.300285e+01
1.238450e+01,2.397752e+01,1.326241e+01
1.250064e+01,2.413520e+01,1.352602e+01
1.261718e+01,2.429108e+01,1.379369e+01
1.273411e+01,2.444507e+01,1.406543e+01
1.285139e+01,2.459705e+01,1.434125e+01
1.296901e+01,2.474691e+01,1.462116e+01
1.308694e+01,2.489454e+01,1.490516e+01
1.320516e+01,2.503982e+01,1.519325e+01
1.332363e+01,2.518265e+01,1.548543e+01
1.344233e+01,2.532290e+01,1.578171e+01
1.356123e+01,2.546045e+01,1.608206e+01
1.368030e+01,2.559518e+01,1.638648e+01
1.379952e+01,2.572697e+01,1.669496e+01
1.391884e+01,2.585569e+01,1.700747e+01
1.403824e+01,2.598122e+01,1.732401e+01
1.415769e+01,2.610343e+01,1.764453e+01
1.427715e+01,2.622219e+01,1.796902e+01
